n_assets,hedge_steps,hedge_label,days_per_hedge_step,hedger,avg_initial_price,avg_mean_pnl,avg_std_pnl,std_of_std_pnl,avg_q05_pnl,avg_q01_pnl,std_of_q01_pnl,avg_stress_fraction
3,4,Quarterly,63,constant,8.2884799935417,-0.38097449347577117,2.8626489862561897,0.22198990039615824,-5.310338160286288,-8.616225044717876,1.5294162153359683,0.30083333333333334
3,4,Quarterly,63,regime,8.627830841774154,-0.00991188492370485,2.84400545877941,0.2534718236700483,-4.620864549992693,-7.65430950460631,2.022613065145982,0.30083333333333334
3,12,Monthly,21,constant,8.363142438907682,-0.35634241763171526,2.0001724388964153,0.12822755345507952,-3.6792774482259576,-6.437709622722835,0.7325524058317979,0.34680555555555553
3,12,Monthly,21,regime,8.749868415541151,0.0583718380277596,1.9545556850246204,0.11215111033745287,-3.3263814887621046,-5.64004104079818,0.8853228085216558,0.34680555555555553
4,4,Quarterly,63,constant,7.713288246843803,-0.5346385435080616,3.0268811484561957,0.15236712766746355,-5.844194202072623,-10.196924810740024,1.1766920640923668,0.30999999999999994
4,4,Quarterly,63,regime,8.115285702986034,-0.12521514176212864,3.029866911749531,0.08819505680335753,-5.00706970349856,-9.925601380074486,1.3645419780549288,0.30999999999999994
4,12,Monthly,21,constant,7.8013169944944565,-0.5419055479333206,1.8383369055168823,0.179137548274994,-3.505296519171575,-5.129340799198295,0.8615073982166087,0.35750000000000004
4,12,Monthly,21,regime,8.274292834949415,-0.06687787429704797,1.80074668389078,0.17555886563997974,-2.970156924709264,-4.315660965047472,1.1437053963624737,0.35750000000000004
5,4,Quarterly,63,constant,7.4986212054326415,-0.5301850453475503,3.1252718646626123,0.27734939355285665,-5.794969581905567,-10.604064734924314,3.716380382837789,0.30333333333333334
5,4,Quarterly,63,regime,7.8334510788615646,-0.16513007001168192,3.028350207314111,0.287815257595819,-5.244725494487691,-9.429623299573423,2.9513165720329892,0.30333333333333334
5,12,Monthly,21,constant,7.512414664674482,-0.6989917921251179,1.9066058647614874,0.32426869649552464,-4.573487895199802,-6.188670510289542,1.5256639876234925,0.3711111111111111
5,12,Monthly,21,regime,8.114969814775804,-0.039622697255827934,1.8554864628485603,0.21703748579029378,-3.4755443823397614,-4.89041384121422,1.0186140108536528,0.3711111111111111
