rho_stress,hedger,avg_initial_price,avg_std_pnl,std_of_std_pnl,avg_q05_pnl,avg_q01_pnl,std_of_q01_pnl
0.35,constant,8.164409175064414,1.4948206118462597,0.09359034904135415,-1.660587542084062,-3.783948847648062,1.6119695619588483
0.35,regime,7.787206335318431,1.491691383948019,0.10548545686135051,-2.1183848304135147,-4.5856104789492305,1.6777338712895964
0.55,constant,8.183464818720271,1.5414852621620563,0.06554471392096974,-2.05807967471847,-3.3840780471350946,0.31706977820786947
0.55,regime,7.9872358899881855,1.5412831495674455,0.07297755198964356,-2.3588010963516677,-3.701812640420116,0.32161737475610197
0.75,constant,8.24830090431298,1.6296838631874178,0.05655207003579627,-2.2432594331424878,-3.975127081058432,0.7326227602520478
0.75,regime,8.092009510570174,1.6220786189445766,0.048218939010708305,-2.6081515027423388,-3.8629879453677325,0.8247032300191779
0.9,constant,8.316414949018867,1.6631021781346522,0.24753190204820985,-2.4500656918315595,-4.045910150173854,2.073475958637307
0.9,regime,8.201438352598363,1.677557460074268,0.23227445930420154,-2.661996226696883,-3.895074139754271,1.6833219487206512
0.95,constant,8.29775041107299,1.8516682390088146,0.22090145059249353,-2.799225415845113,-5.321259654194627,0.685782133524286
0.95,regime,8.14268882767672,1.8471945357695776,0.2301941154999754,-2.9244902971254887,-5.3389901717310675,0.7331842867093216
0.98,constant,8.176654827062329,1.7528702865620824,0.051164775155242176,-2.70675034729471,-4.880708448296888,0.35425304818585945
0.98,regime,8.192378671410811,1.692186998611385,0.06743060802728822,-2.6996735318414515,-4.461067041862728,0.6107189538382747
