n_assets,hedge_steps,hedge_label,days_per_hedge_step,repeat_id,strike,avg_stress_fraction,hedger,initial_price,mean_pnl,std_pnl,q05_pnl,q01_pnl
3,12,Monthly,21,0,101.66666666666667,0.35,constant,8.202879069515863,-0.2488210922287667,1.9739550760578541,-3.4320112965021656,-6.453488950909143
3,12,Monthly,21,0,101.66666666666667,0.35,regime,8.882438400547056,0.488209015045664,2.0031482975085595,-2.697844403693579,-5.394891753030157
3,12,Monthly,21,1,101.66666666666667,0.3347222222222222,constant,8.373317266288145,-0.4239384774022679,1.963198070932331,-3.1943315809155455,-7.195905159970306
3,12,Monthly,21,1,101.66666666666667,0.3347222222222222,regime,8.650449203616164,-0.13779410653239263,1.8896584926541211,-3.046468025636645,-5.573857763725701
3,12,Monthly,21,2,101.66666666666667,0.35555555555555557,constant,8.45475433507852,-0.3374763815463971,2.128342619037403,-4.387974875986734,-5.792523890827079
3,12,Monthly,21,2,101.66666666666667,0.35555555555555557,regime,8.63079019012831,-0.14869733381008002,2.069442456087066,-4.278296912347728,-6.220108404173801
3,12,Monthly,21,3,101.66666666666667,0.3548611111111111,constant,8.48947504987171,-0.26951173500017567,1.8173900451489924,-3.1999879553927935,-5.616061894798578
3,12,Monthly,21,3,101.66666666666667,0.3548611111111111,regime,8.786307050900717,0.06255896919904032,1.7919499737411901,-3.0308842662330395,-4.344183185333915
3,12,Monthly,21,4,101.66666666666667,0.3388888888888889,constant,8.295286473784163,-0.501964401980969,2.1179763833054954,-4.18208153233255,-7.130568217109071
3,12,Monthly,21,4,101.66666666666667,0.3388888888888889,regime,8.79935723251351,0.027582646236566373,2.0185792051321654,-3.5784138358995294,-6.667164097727328
3,4,Quarterly,63,0,101.66666666666667,0.32083333333333336,constant,8.1708158844983,-0.26285169506729494,2.795159083052952,-5.4672036427124855,-9.292370872536038
3,4,Quarterly,63,0,101.66666666666667,0.32083333333333336,regime,8.525531532454155,0.13113807982263972,2.7572439135784457,-4.650951079772647,-7.094850037380416
3,4,Quarterly,63,1,101.66666666666667,0.28541666666666665,constant,8.213497014648606,-0.6255935234451596,2.5900603165170404,-4.518661879756991,-7.457202025620029
3,4,Quarterly,63,1,101.66666666666667,0.28541666666666665,regime,8.75706711282125,-0.023435014066098513,2.541477887278401,-3.7354073419515057,-6.543434060260952
3,4,Quarterly,63,2,101.66666666666667,0.31666666666666665,constant,8.345019253491827,-0.318190906650542,3.1714118265315796,-5.18159975762128,-10.999943169672653
3,4,Quarterly,63,2,101.66666666666667,0.31666666666666665,regime,8.746876972289487,0.09212131729416587,3.1907345960517626,-4.894308903558134,-11.226761175334278
