n_assets,repeat_id,strike,avg_stress_fraction,hedger,runtime_seconds,initial_price,mean_pnl,std_pnl,q05_pnl,q01_pnl
2,0,97.5,0.3625,constant,0.16521287499926984,8.72199536704769,-0.15564775881258264,1.7638389654545275,-2.5031713789302934,-3.3581263024658004
2,0,97.5,0.3625,regime,0.5117483749636449,9.082573282930486,0.17986611950662507,1.7837100561447472,-2.456225003177554,-3.474671264208726
2,1,97.5,0.34791666666666665,constant,0.15051695797592402,8.78311033693024,0.1831544162232583,1.6669135485679323,-2.9483235276558237,-3.379823976346836
2,1,97.5,0.34791666666666665,regime,0.506209957995452,9.04045431908448,0.42467425002155695,1.6986205029142272,-2.4940814575626833,-3.285036880054155
2,2,97.5,0.353125,constant,0.13586516602663323,8.674850464096492,-0.34467499991299766,1.845140427624963,-3.008613536586806,-5.614643448178334
2,2,97.5,0.353125,regime,0.554402084031608,8.840215809908052,-0.10808895449351057,1.8183566499321229,-2.919172647024995,-4.409721453144461
2,3,97.5,0.35625,constant,0.15892091701971367,8.693855037825122,-0.3366161111671554,2.1470100728726362,-4.723733396534696,-5.362873379681711
2,3,97.5,0.35625,regime,0.5362947499961592,8.55662629459328,-0.50550750376441,2.050972874504644,-4.708831944787162,-5.6933207438269315
3,0,101.66666666666667,0.3416666666666667,constant,0.21292787499260157,8.547478164970682,-0.26375797260526623,2.257998631391202,-3.876357500441457,-6.104481729584621
3,0,101.66666666666667,0.3416666666666667,regime,0.5506728329928592,8.768846446626268,0.0732428714774364,2.210560564921307,-3.1716562296698005,-4.872552097186232
3,1,101.66666666666667,0.3145833333333333,constant,0.18221083300886676,8.217856621443174,-0.7508641881621092,2.1809660535949256,-4.532250334205921,-7.038076898389592
3,1,101.66666666666667,0.3145833333333333,regime,0.5842007499886677,8.89725167856676,-0.020879214008604798,2.1550870843824157,-3.6181374754835502,-6.056180026200367
3,2,101.66666666666667,0.38229166666666664,constant,0.16356820898363367,8.341045896801742,-0.34136374346884263,1.8820993595790663,-3.025927530456205,-5.862098964194295
3,2,101.66666666666667,0.38229166666666664,regime,0.567995332996361,8.867016574266552,0.19182768637772682,1.8491666693576212,-2.543977556155567,-5.051003533719182
3,3,101.66666666666667,0.3458333333333333,constant,0.17935820802813396,8.396215939237258,-0.6429737566900602,1.96198024376009,-4.15413261046309,-5.332543319325994
3,3,101.66666666666667,0.3458333333333333,regime,0.5312913339585066,8.589340527680324,-0.422473303680208,1.9058131937200913,-3.6300245842437517,-5.3364428251496125
4,0,102.5,0.37395833333333334,constant,0.2640383749967441,7.64177532309013,-0.8567988045209074,1.965619413504751,-4.246337662123865,-6.580183385101876
4,0,102.5,0.37395833333333334,regime,0.6819701669737697,8.280213773237886,-0.28016709771687837,1.9080206422376849,-3.9187745583301408,-5.804354890284181
4,1,102.5,0.321875,constant,0.20855566702084616,7.616611140331164,-0.6801016492142032,1.5416958702166437,-3.141403179769031,-5.693622838202556
4,1,102.5,0.321875,regime,0.6648272920283489,8.363096215094407,0.05931342787495304,1.521384937316898,-2.6093481982567126,-4.544593422642846
4,2,102.5,0.35833333333333334,constant,0.2516596670029685,7.677468960238212,-0.42584208636712806,1.501013293177821,-2.7761390096962426,-4.832860665593625
4,2,102.5,0.35833333333333334,regime,0.6900860840105452,8.38490955348122,0.28825052831733533,1.593867882277754,-2.4783754193580907,-3.47617148152682
4,3,102.5,0.346875,constant,0.2303391249733977,7.900141245443306,-0.44709165194251455,1.7657566573604146,-3.1026411088802703,-5.404452037918673
4,3,102.5,0.346875,regime,0.6386420410126448,8.395361168572862,0.0503479037313994,1.6831439588937072,-2.6580319586640635,-4.834767645283614
5,0,100.0,0.3614583333333333,constant,0.2213501670048572,7.246267965994072,-1.098382289561114,1.840002314425967,-4.705856780787057,-5.959331041087469
5,0,100.0,0.3614583333333333,regime,0.671002333983779,8.146319251303035,-0.19034949131556297,1.7636071105335922,-2.798114845670399,-4.629936727633105
5,1,100.0,0.375,constant,0.27530091698281467,7.6410514758225965,-0.7837922279865049,2.382826404965906,-4.7353573169019265,-8.918145875241159
5,1,100.0,0.375,regime,0.6384918339899741,8.215977742228347,-0.17288971771665598,2.2116924580533834,-4.196843261390967,-6.986637376256957
5,2,100.0,0.371875,constant,0.26181674998952076,7.631063948452502,-0.8494308568316671,2.0068086888089036,-4.792271684874912,-6.747505299370553
