n_assets,hedger,avg_initial_price,avg_mean_pnl,avg_std_pnl,std_of_std_pnl,avg_q05_pnl,avg_q01_pnl,std_of_q01_pnl,avg_runtime_seconds,avg_stress_fraction
2,constant,8.718452801474886,-0.16344611341736937,1.8557257536300147,0.20740607061581992,-3.2959604599269046,-4.42886677666817,1.228197949459798,0.1526289790053852,0.3549479166666667
2,regime,8.879967426629074,-0.0022640221824346413,1.8379150208739352,0.15068434977632555,-3.1445777631380984,-4.215687585308569,1.1009488054018364,0.527163791746716,0.3549479166666667
3,constant,8.375649155613214,-0.4997399152315696,2.070761072081321,0.1776040089086503,-3.8971669938916684,-6.084300227873626,0.7128835999800661,0.184516281253309,0.34609375
3,regime,8.780613806784977,-0.0445704899584124,2.030156878095359,0.17923155801575735,-3.2409489613881672,-5.329044620563849,0.5210479509074968,0.5585400624840986,0.34609375
4,constant,7.708999167275703,-0.6024585480111884,1.6935213085649075,0.2155347025773961,-3.316630240117352,-5.627779731704182,0.7287385480303766,0.2386482084984891,0.3502604166666667
4,regime,8.355895177596594,0.029436190551702348,1.676604355181511,0.1678636906961137,-2.916132533652252,-4.664971859934365,0.958255638549924,0.6688813960063271,0.3502604166666667
5,constant,7.547018150089522,-0.8735014613593339,2.111059149047886,0.23728881636014634,-4.744567888102918,-7.128915391429807,1.2611507108611502,0.2664196147379698,0.37578125
5,regime,8.121764059143183,-0.24160269079262753,2.006730018800955,0.2082713612994139,-3.8073747735390486,-5.68196629727671,1.212518962878948,0.654531989741372,0.37578125
6,constant,7.594337983576639,-0.562519183380839,1.9130614341853738,0.08811344655395649,-3.6356996451664365,-6.174867273776634,1.1055684565495605,0.4643612292711623,0.35286458333333337
6,regime,8.27497742079171,0.1148537370856797,1.8570320368194393,0.11821510772930764,-2.88944051078172,-4.364734941206866,0.8136797997092158,0.946096344239777,0.35286458333333337
8,constant,7.270119014571782,-0.7588292347886983,1.932373074135256,0.18287208833074248,-4.081501265399561,-6.738359339302978,1.678934169145299,0.39550462501938455,0.3611979166666667
8,regime,8.001800165085596,0.03010064875991343,1.89604985825647,0.18883439460177714,-2.8722776476378256,-5.2851139062023735,1.8611897511634494,0.8443192187551176,0.3611979166666667
10,constant,7.0809393100287386,-0.6312510350806687,1.8836308487726996,0.11449004386904818,-3.7656415943068957,-6.054533921527991,0.8843176700337493,0.42297798974323086,0.36302083333333335
10,regime,7.770456944818053,0.10559123609228852,1.896835031672631,0.14661606313805967,-3.0040785836247794,-4.667135029519475,0.8479099008833505,1.0430242292641196,0.36302083333333335
