scenario_group,scenario_value,hedger,avg_model_initial_price,avg_mean_pnl,avg_std_pnl,avg_q05_pnl,avg_q01_pnl,avg_runtime_seconds,rho_stress,stress_share,lambda_daily,hedge_steps,strike_multiplier,avg_stress_fraction
baseline,baseline,constant,7.106284760531515,-0.018852331023781567,1.952585695531645,-2.9336417196198825,-5.30108270139522,0.425722562984447,0.98,0.4,0.08,12.0,1.0,0.3744791666666667
baseline,baseline,regime,7.834964902242534,-0.026782323515987073,1.9577933227023514,-3.1331540125905493,-4.954616708242032,0.8740968957572477,0.98,0.4,0.08,12.0,1.0,0.3744791666666667
hedge_frequency,Monthly,constant,7.193839583095816,-0.10178060967365372,2.1248132727930997,-4.245506919219355,-5.712016789765201,0.4748999584990088,0.98,0.4,0.08,12.0,1.0,0.378125
hedge_frequency,Monthly,regime,7.918362091800607,-0.06831714655028137,2.013594680334175,-3.6168640731028927,-5.283055818263007,0.8438810312654823,0.98,0.4,0.08,12.0,1.0,0.378125
hedge_frequency,Quarterly,constant,7.091625266515346,-0.018265515421354385,2.812026330121187,-5.104357434460177,-8.191583453134893,0.32136108350823633,0.98,0.4,0.08,4.0,1.0,0.2921875
hedge_frequency,Quarterly,regime,7.712469805411473,-0.10840221648649241,2.841038495476802,-5.747259947397883,-8.085795586088567,0.16471960447961465,0.98,0.4,0.08,4.0,1.0,0.2921875
hedge_frequency,Semiannual,constant,7.228247160925431,0.15479861752470653,3.5107170778445287,-5.89892379081998,-10.186905119817784,0.05493098949955311,0.98,0.4,0.08,2.0,1.0,0.1921875
hedge_frequency,Semiannual,regime,7.104215770828661,0.14276749288717924,3.436070908736863,-5.8599889220533115,-9.368779172950603,0.07964839575288352,0.98,0.4,0.08,2.0,1.0,0.1921875
stress_corr,0.75,constant,7.170549195243758,-0.004357699536652188,1.901918095856288,-3.6327886205940083,-4.83004171487985,0.42184305224509444,0.75,0.4,0.08,12.0,1.0,0.3609375
stress_corr,0.75,regime,7.473939639795507,0.022454163058876833,1.8548021740738814,-3.2549656162623064,-4.402531977471055,0.8387205309991259,0.75,0.4,0.08,12.0,1.0,0.3609375
stress_corr,0.9,constant,7.3247299545125015,-0.10894967627981889,1.9307665125192606,-3.43684479471795,-5.692922942736606,0.4125322190084262,0.9,0.4,0.08,12.0,1.0,0.36875
stress_corr,0.9,regime,7.683925839640304,-0.12780454364901028,1.8836140508746289,-3.427016747518093,-4.98099470461787,0.8836468022636836,0.9,0.4,0.08,12.0,1.0,0.36875
stress_corr,0.98,constant,7.12063871094395,0.022580624973069313,1.9270547220696232,-3.178732308531689,-5.322169879573247,0.40873242702218704,0.98,0.4,0.08,12.0,1.0,0.36979166666666663
stress_corr,0.98,regime,7.958289174038512,0.010488944516688449,1.8943502630074154,-3.174617594626048,-4.982463730752709,0.8561277605040232,0.98,0.4,0.08,12.0,1.0,0.36979166666666663
stress_share,0.2,constant,7.158263904122164,0.19284081700491507,1.5655158076719604,-2.2795826505186576,-3.6414174087289597,0.4054880104959011,0.98,0.2,0.08,12.0,1.0,0.17526041666666667
stress_share,0.2,regime,7.048404320125792,0.18043166248160045,1.6046696256190698,-2.6104362971440507,-3.698243310879892,0.8719470832293155,0.98,0.2,0.08,12.0,1.0,0.17526041666666667
stress_share,0.3,constant,7.143278474309933,0.11048320406080397,1.7687731969367568,-2.810014376196845,-4.472999599586128,0.4260236769914627,0.98,0.3,0.08,12.0,1.0,0.2604166666666667
stress_share,0.3,regime,7.531375148499539,0.09042790674626816,1.7573750301035396,-2.6185190669855816,-4.2335018018538655,0.8418780309875729,0.98,0.3,0.08,12.0,1.0,0.2604166666666667
stress_share,0.4,constant,7.145912750999772,0.16855652054514686,1.8875044611428888,-3.077399966104525,-5.07522111503264,0.39920641675416846,0.98,0.4,0.08,12.0,1.0,0.3651041666666667
stress_share,0.4,regime,7.831972475777767,0.11602186546584797,1.8808251054927596,-3.181371844952399,-4.849665358500763,0.857449187504244,0.98,0.4,0.08,12.0,1.0,0.3651041666666667
stress_share,0.5,constant,7.179673021417942,0.19774349457711218,1.9705007803425725,-3.3103664517304034,-5.471649101117564,0.47163466675556265,0.98,0.5,0.08,12.0,1.0,0.4471354166666667
stress_share,0.5,regime,8.340174015193742,0.17477088413148328,1.8389971915142793,-2.927114240774856,-4.585565132912977,0.8601449684938416,0.98,0.5,0.08,12.0,1.0,0.4471354166666667
strike_multiplier,0.95,constant,10.248887393687587,-0.015957549323159972,1.9569452065504749,-4.064619104099238,-5.972208810493879,0.48928908351808786,0.98,0.4,0.08,12.0,0.95,0.36041666666666666
strike_multiplier,0.95,regime,10.751353391695183,-0.05214295923062441,1.9043912116299717,-3.6025555815923473,-5.352345435722456,1.0708277707453817,0.98,0.4,0.08,12.0,0.95,0.36041666666666666
strike_multiplier,1.0,constant,7.1060179990273715,-0.12877227711619113,2.1136885170052855,-4.301692277743186,-5.989224311951196,0.39910060398688074,0.98,0.4,0.08,12.0,1.0,0.35833333333333334
strike_multiplier,1.0,regime,7.833097904420829,-0.18619600385049437,2.0248941208256586,-3.9967240445084116,-5.184514012476358,0.8108856460021343,0.98,0.4,0.08,12.0,1.0,0.35833333333333334
strike_multiplier,1.05,constant,4.786804419058601,0.014097618005489546,1.86102210854371,-3.2277382010114595,-5.609928469933077,0.42483059348887764,0.98,0.4,0.08,12.0,1.05,0.35520833333333335
strike_multiplier,1.05,regime,5.483315214852661,-0.0015338407131031406,1.8570218757054688,-3.1012953812729833,-5.072653844052934,0.8133284479990834,0.98,0.4,0.08,12.0,1.05,0.35520833333333335
