scenario_group,scenario_value,avg_model_initial_price_constant,avg_model_initial_price_regime,avg_std_pnl_constant,avg_std_pnl_regime,avg_q05_pnl_constant,avg_q05_pnl_regime,avg_q01_pnl_constant,avg_q01_pnl_regime,avg_mean_pnl_constant,avg_mean_pnl_regime,regime_price_minus_constant,std_gap_constant_minus_regime,q05_gap_regime_minus_constant,q01_gap_regime_minus_constant,mean_gap_regime_minus_constant
baseline,baseline,7.106284760531515,7.834964902242534,1.9525856955316454,1.9577933227023514,-2.8731423638058744,-3.0726546567765443,-5.240583345581221,-4.894117352428033,0.0416470247902261,0.033717032298022684,0.7286801417110196,-0.005207627170705997,-0.19951229297066986,0.3464659931531884,-0.007929992492203414
hedge_frequency,Monthly,7.193839583095816,7.918362091800607,2.1248132727931006,2.013594680334175,-4.309276756139374,-3.6806339100229004,-5.775786626685203,-5.346825655183013,-0.16555044659366241,-0.13208698347029357,0.7245225087047915,0.11121859245892551,0.6286428461164735,0.4289609715021907,0.03346346312336884
hedge_frequency,Quarterly,7.091625266515346,7.712469805411473,2.812026330121187,2.841038495476801,-5.276286425696195,-5.919188938633908,-8.363512444370912,-8.257724577324584,-0.19019450665737553,-0.28033120772251335,0.6208445388961268,-0.029012165355613906,-0.6429025129377122,0.10578786704632748,-0.09013670106513783
hedge_frequency,Semiannual,7.228247160925431,7.104215770828661,3.5107170778445287,3.436070908736863,-5.837572291210616,-5.798637422443953,-10.125553620208423,-9.307427673341241,0.21615011713407045,0.2041189924965396,-0.12403139009676956,0.07464616910766564,0.0389348687666633,0.8181259468671822,-0.012031124637530866
stress_corr,0.75,7.170549195243758,7.473939639795507,1.9019180958562878,1.8548021740738825,-3.64444094749246,-3.266617943160753,-4.841694041778306,-4.414184304369508,-0.01601002643510584,0.010801836160424922,0.3033904445517486,0.04711592178240531,0.3778230043317068,0.4275097374087977,0.026811862595530762
stress_corr,0.9,7.3247299545125015,7.683925839640304,1.9307665125192586,1.8836140508746297,-3.394463494043367,-3.3846354468435105,-5.65054164206202,-4.938613403943286,-0.0665683756052372,-0.0854232429744288,0.35919588512780276,0.04715246164462883,0.009828047199856638,0.711928238118734,-0.01885486736919159
stress_corr,0.98,7.12063871094395,7.958289174038512,1.9270547220696241,1.8943502630074156,-3.332859230009503,-3.3287445161038614,-5.476296801051061,-5.13659065223052,-0.1315462965047374,-0.14363797696112124,0.8376504630945618,0.032704459062208535,0.004114713905641665,0.3397061488205404,-0.012091680456383841
stress_share,0.2,7.158263904122164,7.048404320125792,1.5655158076719609,1.604669625619069,-2.2380341558527173,-2.568887802478095,-3.5998689140630282,-3.6566948162139505,0.23438931167085825,0.22198015714754527,-0.10985958399637141,-0.03915381794710804,-0.33085364662537753,-0.056825902150922314,-0.012409154523312982
stress_share,0.3,7.143278474309933,7.531375148499539,1.7687731969367573,1.7573750301035387,-2.7535487229242737,-2.562053413713,-4.4165339463135505,-4.177036148581297,0.16694885733337922,0.14689356001884257,0.3880966741896055,0.011398166833218593,0.19149530921127367,0.23949779773225366,-0.020055297314536646
stress_share,0.4,7.145912750999772,7.831972475777767,1.8875044611428873,1.88082510549276,-3.0527694680555597,-3.156741346903429,-5.0505906169836825,-4.825034860451801,0.19318701859410414,0.1406523635148071,0.6860597247779952,0.006679355650127228,-0.10397187884786918,0.22555575653188153,-0.052534655079297055
stress_share,0.5,7.179673021417942,8.340174015193742,1.9705007803425734,1.83899719151428,-3.380275614324164,-2.9970234033686136,-5.54155826371132,-4.655474295506734,0.12783433198336494,0.10486172153772993,1.1605009937758002,0.13150358882829338,0.3832522109555505,0.886083968204586,-0.022972610445635006
strike_multiplier,0.95,10.248887393687587,10.751353391695183,1.9569452065504758,1.9043912116299717,-3.9188981899086452,-3.456834667401749,-5.8264878963033,-5.206624521531866,0.12976336486742762,0.09357795495996599,0.5024659980075956,0.052553994920504055,0.4620635225068961,0.6198633747714339,-0.036185409907461635
strike_multiplier,1.0,7.1060179990273715,7.833097904420829,2.1136885170052837,2.0248941208256586,-4.309268124632702,-4.004299891397931,-5.996800158840714,-5.192089859365882,-0.1363481240057129,-0.19377185074001751,0.7270799053934578,0.08879439617962515,0.30496823323477074,0.8047102994748325,-0.057423726734304625
strike_multiplier,1.05,4.786804419058601,5.483315214852661,1.8610221085437102,1.857021875705469,-3.159222172904128,-3.032779353165658,-5.541412441825748,-5.004137815945612,0.08261364611281705,0.06698218739422299,0.69651079579406,0.004000232838241136,0.12644281973846994,0.5372746258801362,-0.01563145871859406
