hedge_steps,days_per_hedge_step,hedge_label,lambda_daily,expected_stress_duration_days,repeat_id,avg_stress_fraction,hedger,runtime_seconds,model_initial_price,funding_initial_price,premium_adjustment,mean_pnl,std_pnl,median_pnl,q05_pnl,q01_pnl,min_pnl,max_pnl
12,21,Monthly,0.15,11.11111111111111,0,0.3458333333333333,constant,0.2549329579924233,8.264378722641894,8.587501340741959,-0.32312261810006504,-0.11621953863271814,2.2874113755431678,0.3420981252241558,-4.924409944643626,-8.235650379598855,-9.203402078607425,3.8696273290145626
12,21,Monthly,0.15,11.11111111111111,0,0.3458333333333333,regime,0.8312204160029069,8.587501340741959,8.587501340741959,0.0,-0.17567862888417096,2.232328524867976,0.08009674809145574,-4.942448546847884,-7.940694123649341,-8.391611296633585,4.06905800807467
12,21,Monthly,0.15,11.11111111111111,1,0.35694444444444445,constant,0.30682979203993455,8.137308251212655,8.744909269174638,-0.6076010179619828,0.23005569352179422,1.7696372783081598,0.3364202576330726,-3.1113300064411655,-5.013008081150275,-5.268950159957284,5.668161513701186
12,21,Monthly,0.15,11.11111111111111,1,0.35694444444444445,regime,0.8401927500381134,8.744909269174638,8.744909269174638,0.0,0.20935823802273326,1.8180173942847742,0.3087260737469469,-2.674394593354127,-4.9710410740303494,-6.021419409462936,5.6351580199388565
12,21,Monthly,0.15,11.11111111111111,2,0.36944444444444446,constant,0.2703003750066273,8.29608553482767,8.67286643590431,-0.376780901076641,-0.19137286234978668,2.1054563907675856,-0.14019794401301616,-3.4059752656931037,-5.377074742604893,-7.674419461776879,4.017587867315569
12,21,Monthly,0.15,11.11111111111111,2,0.36944444444444446,regime,0.8354830000316724,8.67286643590431,8.67286643590431,0.0,-0.16193182155991476,2.149646187979134,-0.1881664066890032,-3.4283362112605382,-5.376882164939677,-7.732956743191003,4.865033102402933
12,21,Monthly,0.08,20.833333333333332,0,0.3506944444444444,constant,0.2861767090507783,8.181571861075188,8.51365263391616,-0.33208077284097115,0.06593356063091638,1.911487861580232,0.14784864111320886,-3.47964798953,-5.224338276905514,-6.627062801071119,4.151916341125556
12,21,Monthly,0.08,20.833333333333332,0,0.3506944444444444,regime,0.8150899999891408,8.51365263391616,8.51365263391616,0.0,0.07641730524150901,1.913388050363736,0.12852032877773195,-3.4922437696242534,-4.423872497193473,-5.89830735925446,4.639707533656363
12,21,Monthly,0.08,20.833333333333332,1,0.34652777777777777,constant,0.32284750003600493,8.339239426315833,8.555633251824258,-0.21639382550842434,-0.32012098170503633,1.9749636447939092,-0.06893411028767282,-4.163319776375731,-6.036501717526016,-6.564529228744462,4.298036023363821
12,21,Monthly,0.08,20.833333333333332,1,0.34652777777777777,regime,0.977325749990996,8.555633251824258,8.555633251824258,0.0,-0.2736179158297554,2.0009706966738903,-0.06685039120935699,-3.8689687921051843,-5.447959478303157,-6.4490792596033915,4.192940692144909
12,21,Monthly,0.08,20.833333333333332,2,0.36875,constant,0.38820049999048933,8.303650778539247,8.582824007035176,-0.27917322849592985,-0.13885762650597844,1.6832711452934788,0.016921550677032604,-3.5136458290859705,-4.064031908126636,-5.119870444197517,3.556905959226569
12,21,Monthly,0.08,20.833333333333332,2,0.36875,regime,1.479057666962035,8.582824007035176,8.582824007035176,0.0,-0.20473736541775125,1.7104670855519126,-0.1757486301355371,-3.0745037791276713,-4.445284344364937,-5.013740526585693,3.4843016529962867
12,21,Monthly,0.04,41.666666666666664,0,0.3368055555555556,constant,0.3959384999470785,8.333074132352905,8.889605635826173,-0.5565315034732681,0.2793669626654765,2.1857850223737523,0.46221139053133076,-3.3391090536736567,-4.9093710592698105,-7.569528608725292,6.083348940041979
12,21,Monthly,0.04,41.666666666666664,0,0.3368055555555556,regime,0.9831794169731438,8.889605635826173,8.889605635826173,0.0,0.3139987315933832,2.127549325144494,0.3785656093524281,-3.3672856241372178,-4.424558124849418,-6.507660882465657,5.938735702541152
12,21,Monthly,0.04,41.666666666666664,1,0.3458333333333333,constant,0.43454937502974644,8.382791247936213,8.579158651959258,-0.19636740402304476,-0.12601102759703334,1.856733491388708,0.016575519357829194,-4.054390295971213,-4.78785468446225,-4.925806369483681,3.638914899701149
