model,price,std_error,ci_low,ci_high,discounted_payoff_std,n_paths
Constant correlation,8.26090053029083,1.1462198455803765,6.0143096329532915,10.507491427628366,11.462198455803765,100
Constant correlation,7.878435801439119,0.7134661267558017,6.480042192997748,9.27682940988049,11.280889969633664,250
Constant correlation,8.215445415217978,0.5115691222421828,7.2127699356232995,9.218120894812657,11.439033325234204,500
Constant correlation,8.502551417578328,0.37952595401226247,7.7586805477142935,9.246422287442362,12.001664458270692,1000
Constant correlation,8.600744627849924,0.3151489846364011,7.983052617962578,9.21843663773727,12.205667690709586,1500
Constant correlation,8.912401437846816,0.28267214849836836,8.358364026790014,9.466438848903618,12.641482787765336,2000
Constant correlation,8.591660507230165,0.24872946187936662,8.104150761946606,9.079170252513723,12.436473093968331,2500
Constant correlation,8.468051387980813,0.22334257219877843,8.030299946471207,8.905802829490419,12.232976484449713,3000
Regime switching,8.040414912050542,1.1749738331799284,5.737466199017883,10.343363625083201,11.749738331799284,100
Regime switching,8.001877195628913,0.778369672033029,6.4762726384441756,9.52748175281365,12.307105126113179,250
Regime switching,8.126985479091754,0.5298236027153613,7.088531217769646,9.165439740413863,11.847215917553902,500
Regime switching,8.15534922035452,0.3607324477846005,7.448313622696703,8.862384818012337,11.407361609270986,1000
Regime switching,8.325953771305109,0.3063986467972427,7.7254124235825135,8.926495119027704,11.866768563462095,1500
Regime switching,8.305975842562308,0.2627281909110878,7.791028588376576,8.82092309674804,11.749561889654695,2000
Regime switching,8.14038463078054,0.23158299649981345,7.686481957640906,8.594287303920174,11.579149824990672,2500
Regime switching,8.372254647281645,0.21632675824474223,7.948254201121951,8.79625509344134,11.8487045282612,3000
