n_assets,hedger,avg_model_initial_price,avg_mean_pnl,avg_std_pnl,avg_q05_pnl,avg_q01_pnl,avg_runtime_seconds,avg_stress_fraction
2,constant,8.73865084223825,0.007862589992653617,1.912088025488358,-3.356085803957319,-4.8577738377773825,0.22759093339554964,0.35
2,regime,9.003324993886842,-0.010478716878841495,1.9026591069462562,-3.2096201083490405,-4.801536205909997,0.5663939581951126,0.35
3,constant,8.10994591201179,-0.006169440268063842,1.9735102132535183,-3.2917180745445775,-5.186634785408274,0.22980218317825346,0.37066666666666664
3,regime,8.58904461166648,0.009341591368065939,1.9228043778560349,-2.937294188332454,-4.584464892845218,0.6313819749979303,0.37066666666666664
4,constant,7.826127486289957,0.017092575920304325,1.8952124172282077,-3.4545978787828213,-5.8689186290798485,0.3098433582345024,0.36183333333333334
4,regime,8.30741711415151,0.043786781467913795,1.8644193277987213,-3.302981055988069,-5.096463400697107,0.7701147417887114,0.36183333333333334
5,constant,7.526964485929153,0.11054688799955263,1.7676709015092782,-2.920407503622644,-4.961887572633779,0.26711955001810567,0.36733333333333335
5,regime,8.12208519296033,0.03934684032659904,1.797501095175398,-3.26543077183008,-4.515908059089639,0.8790358667960391,0.36733333333333335
6,constant,7.4094633235761025,0.11898366755728487,1.9751692580593108,-3.279862671815637,-5.659144359365646,0.3021604249835946,0.354
6,regime,8.051447924713143,0.0995015038326942,1.9552956779505923,-3.065805513931859,-5.070972042013276,0.932926183368545,0.354
8,constant,7.284130242451118,0.034593309434269304,1.9297154825388496,-3.5534099986791814,-6.010881516045805,0.410815258405637,0.35683333333333334
8,regime,7.974218728693899,0.04277266637222241,1.8739051470654011,-3.285191890922673,-5.210839920171788,1.1159566915943286,0.35683333333333334
10,constant,7.24817055138053,0.0011638400279128755,1.9658320976163495,-3.466534611462989,-5.875136275905869,1.6030048082116992,0.35883333333333334
10,regime,7.9436224780418545,-0.027583006351284623,1.927571083681703,-3.42099252597925,-5.0231522841167795,3.725151125004049,0.35883333333333334
